a,b
,약을 기준보다 더 먹어버렸는데 무슨 일이 생기지는 않겠죠?
,약을 많이 먹었는데 어떻게 하죠?
,약을 많이 복용했는데 어떻게 하죠?
,약물치료 효과가 몸에 느껴져서 2배 효과를 느끼위해 복용량을 2배로 늘였는데 괜찮나요?
,약물치료 효과가 느껴져서 2배 효과를 느끼위해 복용량을 2배로 늘였는데 괜찮을까요?
,약물치료 효과가 느껴져서 2배 효과를 느끼위해 복용량을 2배로 늘였는데 괜찮나요?
,약물치료 효과가 몸에 느껴져서 2배 효과를 느끼고 싶어 복용량을 2배로 늘였는데 괜찮을까요?
,약물 복용 주기를 지키기 힘들어서 그런데 주기를 안지켜도 되나요?
,실수로 약 복용을 2회 했는데 문제가 생길까요?
,약을 많이 먹으면 약효가 강해지나요?
,처방보다 약을 많이 먹었어요
,약을 실수로 더 먹었어요
,효과가 없어서 약을 많이 먹었는데 괜찮나요?
,약물 효과를 늘리려고 많이 먹어도 되나요?
,처방보다 많이 먹으면 빨리 괜찮아지나요?
,약을 많이 먹으면 개선이 빨라지나요?
,복용을 실수로 많이 했어요
,기준보다 많이 먹었는데 괜찮을까요?
,약을 많이 먹으면 약효가 오래가나요?
,약을 먹지 못했는데 한번에 2회치를 먹어도 될까요?
,약을 많이 먹었는데 괜찮나요?
,약물 효과를 빠르게 보고싶어서 많이 먹었는데 괜찮을까요?
,효과가 약해서 그런데 기준보다 많이 먹어도 될까요?
,기준치를 넘겨서 복용해도 문제가 없을까요?
,약을 많이 먹어도 괜찮은것 같은데 더 먹어도 될까요?
,효과를 많이 보고 싶어서 복용량을 늘려도 될까요?
,복용량이 적은거 같아서 늘렸는데 괜찮을까요?
,효과가 약해서 기준보다 많이 먹게 되었어요
,복용량이 많으면 약효과도 더 큰가요?
,복용이 많으면 효과도 커지나요?
,약효과를 많이 보고 싶은데 복용량을 늘릴 수 있나요?
,약을 실수로 더 먹었는데 부작용이 생기진 않겠죠?
,약을 처방보다 많이 먹었습니다
,복용량이 기준보다 많았는데 괜찮을까요?
,약물 효과를 보려고 복용량을 늘렸습니다
,약을 실수로 많이 먹은 것 같아요. 괜찮나요?
,약을 까먹고 두번 먹었어요.
,약을 실수로 두번 먹었어요.
,약을 까먹고 두번 복용했어요.
,약을 실수로 두번 복용했어요.
,약을 많이 복용해버렸는데 몸에 안좋나요?
,약을 많이 먹어버렸는데 몸에 안좋나요?
,약을 많이 복용해버렸는데 큰일난 건가요?
,약을 많이 먹어버렸는데 큰일난건가요?
,약 많이 먹어도 되나요?
,약을 더 복용해도 되나요?
,약을 많이 복용하면 효과도 늘어나나요?
,착각해서 약을 더 먹었는데 병원에 가야하나요?
,약을 착각해서 많이 먹어버렸는데 괜찮을까요?
,약을 더 먹어도 괜찮나요?
,약을 많이 먹으면 빨리 낫나요?
,증상이 심해서 약을 더 먹었는데 괜찮을까요?
,약을 두배로 먹어도 괜찮나요?
,약을 더 먹으면 어떻게 되나요?
,약을 많이 먹으면 효과가 좋나요?
,증상이 심할 때는 약을 더 먹어도 되나요?
,약 효과가 좋은 것 같아서 더 먹고 싶어요.
,약 밀렸는데 몰아서 먹어도 되나요?
,약을 많이 복용했더니 몸이 좀 안좋은 것 같아요.
,약을 2배로 먹으면 2배로 빨리 낫나요?
,약을 착각해서 많이 먹었을 때는 어떻게 하면 되나요?
,약을 실수로 많이 먹었을 때는 병원에 가야 되나요?
,약 먹은 것을 까먹고 한 번 더 먹었어요. 괜찮을까요?
,약 먹은 것을 잊고 한 번 더 먹었어요
,약을 먹은 느낌이 없어서 항상 더 먹었는데 괜찮을까요?
,약효가 돌지 않아 조금씩 더 먹어도 괜찮을까요?
,약효가 없어서 더 먹었어요
,약효가 낮아 약을 더 복용 했어요.
,약효가 나지 않아 약을 더 먹었어요
,약효가 몸에 안 느껴져서 약을 2배로 먹기 시작했어요.
,약효가 몸에 안 느껴져서 약을 더 먹고 있어요
,약효가 없어서 약을 더 먹고 있어요
,약 효과가 없는 것 같아 양을 늘렸어요
,약을 실수로 너무 많이 먹었는데 괜찮을까요?
,약을 실수로 많이 복용했는데 괜찮을까요?
,약을 먹은 것을 잊고 2배로 먹었는데 어떻게 하죠?
,약빨이 돌지 않아 약을 더 복용했어요
,약빨이 없는 것 같아 두배로 먹었어요.
,약효가 없는 것 같아 1알씩 더 먹고 있어요
,약을 더 먹으면 약효가 더 빨리 도나요?
,약을 기준보다 더 먹으면 효과가 더 빨리 나는 건가요?
,약을 기준보다 더 먹으면 약효과가 더 빨리 나타날 수 있나요?
,약을 더 먹어버렸는데 부작용이 걱정돼요
,약을 더 먹은 것같은데 어떻게 하죠
,약을 많이 먹었는데 부작용이 나타날 수 있나요?
,약을 많이 먹었는데 부작용이 걱정됩니다.
,복용시간을 착각해서 약을 많이 먹었는데 어쩌죠
,효과가 없는 것 같아 약을 더 먹어도 되나요?
,처방받은 약의 효과가 없는 것 같아 약 개수를 늘려도 되나요?
,처방 약의 효과가 부족해서 약을 더 먹어도 되나요?
,약의 복용 횟수를 초과해 버렸는데 괜찮은가요?
,약을 과도복용 했을 때 부작용이 있나요?
,약 맛이 좋은것 같아요
,약 을 많이 먹었어요
,많이 먹었는데 효과가 2배인가요
,약을 잘못해서 많이 먹었을때 어떻게 하나요?
,약을 많이 먹으면 효과가 늘어나나요?
,약을 실수로 과도하게 먹으면 어떻게 하나요?
,약을 많이먹으면 어떻하나요?
,약을 너무 먹으면 무슨 부작용이있나요?
,약을 많이먹으면 건강 더 악화되나요?
,약을 너무 많이 먹은 것 같아요
,많이 먹었어요
,두개를 먹었어요
,약 시간을 잘못 알고 너무 많이 먹었어욧
,약 과다복용을 하면 어떻게 하나요?
,빠른 치료를 위해 기준보다 약을 더 먹으면 안되나요?
,약을 많이 먹으면 몸에 무리가 가나요
,과다 복용시 부작용이 무엇인가요
,약을 조금 더 먹으면 안되나요
,약을 과하게 먹었어요
,약을 과다복용 한 것 같아요
,약을 과다복용 했어요
,한꺼번에 약을 많이 먹어버렸습니다
,약을 하루에 여러 번 먹으면 어떻게 해야하나요?
,약물 처방보다 훨씬 많이 먹어버렸는데 어떡하죠?
답변,"일부 항정신병 약물들이 발기부전, 성욕감퇴와 같이 성생활에 문제를 일으킬 수 있습니다. 이런 증상이 현저한 경우에는 성생활에 크게 영향을 주지 않는 약도 있으니 담당 선생님과 상의 후 변경하시는 것도 고려해보시면 되겠습니다. "
유사질문,1. 약을 먹으면 성생활에 지장은 없나요?
,약을 먹고 성생활에 문제가 생겼어요
,약이 성생활에 문제를 일으킬 수 있나요?
,약을 먹고 성욕이 감소한 것 같아요.
,약이 성생활에 문제를 주기도 하나요?
,밤생활에 지장이 있나요?
,성생활에 지장이 있나요?
,발기부전이 생겼는데 약때문인가요?
,성욕감퇴가 생겼는데 약때문인가요?
,약을 먹은뒤 발기부전이 생겼습니다.
,성생활에 지장이 생겼는데 약때문인가요?
,약때문에 발기 부전을 일으킬수도 있나요?
,약이 발기부전에 문제되기도 하나요?
,약때문에 성욕이 떨어질수도 있나요?
,약 먹은뒤 성욕이 사라졌습니다.
,약을 먹은뒤 부부생활에 지장이 생겼습니다.
,부부생활에 어려움이 생겼는데 약 때문인가요?
,성욕이 평소같이 않습니다 약때문인가요?
,약 때문인지 몰라도 발기부전이 생겼습니다.
,약 먹은뒤 발기부전이 생겼는데 다른 약으로 바꿀수 있나요?
,약을 먹은뒤 성생활에 지장이 생겼는데 다른 약으로 바꿀수 있나요?
,약을 먹고 성욕이 감소한거 같은데 다른 약으로 바꿀수 있나요?
,약을 먹고 밤생활이 예전 같이 않는데 다른 약으로 바꿀수 있나요?
,약과 발기부전이 관계있나요?
,약과 밤생활이 관계있나요?
,약과 성욕이 관계있나요?
,발기부전이 왔으면 약을 바꿔야하나요?
,성욕이 감퇴되었으면 약을 바꿔야 하나요?
,성생활이 어려워졌으면 약을 바꿔야 하나요?
,약을 먹어서 그런지 금술이 예전만큼 안됩니다.
,약과 비아그라를 병행해도 되나요?
,약과 성기능이 얼마나 관계가 있나요?
,성기능 장애가 약 때문인가요?
,약 복용후 성기능이 예전같지 않습니다.
,약 복용후 성기능이 사라졌습니다.
,약 복용후 성기능 장애가 부작용인가요?
,약 복용시 성생활에 문제가 생길 수 있나요?
,약 복용시 발기부전이 생길 수 있나요?
,약 복용시 성욕이 감퇴할 수 있나요?
,성욕이 감퇴한거 같은데 약이 원인인가요?
,발기부전이 발생한거 같은데 약이 원인인가요?
,성생활에 문제가 생겼는데 약 때문인가요?
,성생활에 문제가 생길 수 있나요?
,약을 먹고 성생활에 문제가 생긴거 같아요.
,약을 복용하고 성생활에 문제가 생긴거 같아요.
,약이 성생활에 문제를 일으킬 수 있을까요?
,약이 성생활에 문제를 만들수 있나요?
,약이 성생활에 문제를 만들수 있을까요?
,약을 먹고 성욕이 감소한 것 같은데요 괜찮나요?
,약을 먹고 성욕이 감소한 것 같은데요 괜찮을까요?
,약을 복용하고 성욕이 감소한 것 같은데요 괜찮나요?
,약을 먹고 성욕이 감소한 것 같은데요 괜찮을까요?
,약이 성생활에 문제를 주기도 할까요?
,밤생활에 지장이 있을수 있나요?
,밤생활에 지장이 있을수 있을까요?
,성생활에 지장이 있을수 있나요?
,성생활에 지장이 있을수 있을까요?
,발기부전이 생겼는데 약때문일까요?
,발기부전이 생긴거 같은데 약때문인가요?
,발기부전이 생긴거 같은데 약때문일까요?
,성욕감퇴가 생겼는데 약때문일까요?
,성욕감퇴가 생긴거 같은데 약때문인가요?
,성욕감퇴가 생긴거 같은데 약때문일까요?
,성욕이 떨어졌어요
,발기부전이 생겼어요
,성욕이 없어지는데 부작용인가요?
,성생활에 문제가 없을까요?
,성욕이 떨어지는데 다른약을 먹어도 될까요?
,성욕이 떨어지는게 느껴지는데 혹시 약물 때문인가요?
,아침에 발기가 되지 않는데 문제가 있을까요?
,약때문에 발기부전이 생긴걸까요?
,약물때문에 성생활이 힘들어요
,약 때문에 성욕이 떨어지기도 하나요?
,약물이 성욕에 영향을 주나요?
,발기부전도 부작용인가요?
,성욕이 떨어지는데 부작용인가요?
,약물이 성욕을 떨어뜨리는것 같아요
,성생활이 문제가 생겼어요
,성욕이 떨어져서 그런데 다른 약물을 먹어도 되는걸까요?
,약 때문에 발기부전이 생겼어요
,약물이 성욕을 떨어뜨리나요?
,약물 부작용으로 발기부전이 생겼어요
,성욕감퇴가 심해졌어요
,약을 먹고부터 성욕이 떨어졌어요
,약물 복용 후에 발기부전이 생겼어요
,약을 먹은 후에 성욕이 떨어지는것 같아요
,성생활이 힘든데 부작용인가요?
,발기부전이 생겼는데 약물 복용 때문인가요?
,성욕 감퇴가 생기기도 하나요?
,발기부전이 생기는데 다른 약물로 바꿀수 있을까요?
,약을 복용하면 성생활에 지장은 없나요?
,약물치료로 성생활에 지장이 있나요?
,약을 복용하면 성생활에 지장은 없나요?
,약물로 인해 발기부전이 올 수 있나요?
,약을 먹고 발기부전이 올 수 있나요?
,약을 복용하고 발기부전이 올 수 있나요?
,약물치료로 발기부전이 올 수 있나요?
,약을 먹고 난 후 발기가 안됩니다.
,약을 복용한 후 발기부전이 왔는데 약 부작용인가요?
,약을 복용한 후 성욕이 없어졌어요.
,약을 먹고 성생활에 문제가 생길 수 있나요?
,약물이 성기능에 영향을 주나요?
,약물로 인해 성기능저하가 올 수 있나요?
,약으로 인해 성욕이 저하될 수 있나요?
,약 복용 후 성욕이 감퇴된 것 같은데 부작용인가요?
,약이 성생활에 영향을 끼칠 수 있나요?
,약을 복용하고 발기가 안됩니다.
,약물치료를 시작하고 발기가 안됩니다.
,약을 복용하고 성생활에 문제가 생겼어요.
,약물치료를 시작하고 성생활에 문제가 생겼어요.
,약을 먹기 시작하고 성생활에 문제가 생겼어요.
,약을 복용하고 성욕이 줄어들었어요.
,약물치료를 시작하고 성욕이 줄어들었어요.
,약을 먹기 시작하고 성욕이 줄어들었어요.
,약을 먹고 성적인 문제가 생길 수도 있나요?
,약물치료 후 성적인 문제가 생길 수도 있나요?
,성기가 이상한데 약때문인가요?
,성생활에 문제가 생겼는데 약때문인가요?
,잠자리때 성기가 이상한데 약때문인가요?
,약을 먹고 난 후 성적으로 문제가 생겼어요
,약을 먹고 성기능에 문제가 생겼어요
,약을 먹으면 잠자리에 지장은 없나요?
,약물 치료 후 성욕이 없어졌어요
,약물 치료 후 성생활에 문제가 생겼어요
,약물 치료 후 성기능에 문제가 생겼어요
,약물 치료 후 발기부전이 생겼어요
,약을 먹으면 성기능에 문제는 없나요?
